,Entity,Code,Year,"Crops - Cereals, Total - 1717 - Yield - 5419 - hg/ha",Fertilizers indicators - Nutrient nitrogen N (total) - 3102 - Use per area of cropland - 5159 - kg/ha,Continent
5503,Kazakhstan,KAZ,2015,1.2781,3.1,Asia
5561,Kenya,KEN,2015,1.7728000000000002,20.98,Africa
5641,Kyrgyzstan,KGZ,2015,2.999,24.18,Asia
5784,Latvia,LVA,2015,4.5131000000000006,61.32,Europe
5900,Lebanon,LBN,2015,3.1491,73.35,Asia
6074,Libya,LBY,2015,0.6718000000000001,6.83,Africa
6102,Lithuania,LTU,2015,4.5646,73.77,Europe
6179,Luxembourg,LUX,2015,6.0271,202.13,Europe
6238,Madagascar,MDG,2015,3.6592,0.0,Africa
6296,Malawi,MWI,2015,1.5906,18.74,Africa
6354,Malaysia,MYS,2015,4.0542,36.62,Asia
6412,Maldives,MDV,2015,2.4775,34.44,Asia
6470,Mali,MLI,2015,1.5755,23.17,Africa
6528,Malta,MLT,2015,4.8243,399.57,Europe
6661,Mauritius,MUS,2015,2.6959,83.16,Africa
6779,Mexico,MEX,2015,3.4701,39.45,North America
6951,Moldova,MDA,2015,2.3709,35.62,Europe
7010,Mongolia,MNG,2015,0.5673,36.15,Asia
7139,Morocco,MAR,2015,2.1406,26.89,Africa
7197,Mozambique,MOZ,2015,0.7331000000000001,2.03,Africa
7255,Myanmar,MMR,2015,3.6573,17.75,Asia
7314,Namibia,NAM,2015,0.3599,12.82,Africa
7378,Nepal,NPL,2015,2.7439,45.49,Asia
7494,Netherlands,NLD,2015,8.7528,225.37,Europe
7553,New Caledonia,NCL,2015,4.8377,54.59,Oceania
7669,Nicaragua,NIC,2015,1.9404,31.27,North America
7727,Niger,NER,2015,0.5513,0.4,Africa
7785,Nigeria,NGA,2015,1.445,4.84,Africa
7872,North Macedonia,MKD,2015,3.0511000000000004,43.37,Europe
8106,Norway,NOR,2015,4.8015,126.64,Europe
8238,Oman,OMN,2015,13.9808,114.88,Asia
8326,Pakistan,PAK,2015,2.9424,101.29,Asia
8410,Panama,PAN,2015,2.4377,21.74,North America
8468,Papua New Guinea,PNG,2015,4.6351,20.68,Oceania
8526,Paraguay,PRY,2015,4.1489,23.66,South America
8585,Peru,PER,2015,4.2421,62.23,South America
8643,Philippines,PHL,2015,3.5561000000000003,48.39,Asia
8702,Poland,POL,2015,3.7278,92.48,Europe
8776,Portugal,PRT,2015,4.6069,64.71,Europe
8999,Romania,ROU,2015,3.5439000000000003,38.83,Europe
9026,Russia,RUS,2015,2.3914,10.25,Europe
9084,Rwanda,RWA,2015,1.4435,7.92,Africa
9324,Saudi Arabia,SAU,2015,5.5438,55.76,Asia
9383,Senegal,SEN,2015,1.3761,8.65,Africa
9396,Serbia,SRB,2015,4.7873,72.39,Europe
9513,Slovakia,SVK,2015,5.0796,83.9,Europe
9540,Slovenia,SVN,2015,6.2839,119.32,Europe
9770,South Africa,ZAF,2015,3.5424,32.45,Africa
9945,South Korea,KOR,2015,6.8147,134.37,Asia
10185,Spain,ESP,2015,3.2431,62.14,Europe
10243,Sri Lanka,LKA,2015,3.7355,98.01,Asia
10250,Sudan,SDN,2015,0.5699000000000001,3.85,Africa
10359,Suriname,SUR,2015,4.5296,152.44,South America
10418,Sweden,SWE,2015,6.0536,73.45,Europe
10476,Switzerland,CHE,2015,6.431500000000001,117.51,Europe
10534,Syria,SYR,2015,1.4584,4.56,Asia
10619,Tajikistan,TJK,2015,3.261,68.97,Asia
10677,Tanzania,TZA,2015,1.6199,4.89,Africa
10735,Thailand,THA,2015,2.9610000000000003,64.51,Asia
10851,Togo,TGO,2015,1.237,0.2,Africa
10927,Trinidad and Tobago,TTO,2015,1.0011,138.3,North America
10985,Tunisia,TUN,2015,1.1028,21.44,Africa
11043,Turkey,TUR,2015,3.3078000000000003,62.11,Asia
11164,Uganda,UGA,2015,1.9305,0.23,Africa
11191,Ukraine,UKR,2015,4.1409,29.26,Europe
11291,United Kingdom,GBR,2015,7.9809,169.31,Europe
11350,United States,USA,2015,7.430000000000001,74.24,North America
11410,Uruguay,URY,2015,4.1994,44.76,South America
11437,Uzbekistan,UZB,2015,4.8517,160.44,Asia
11554,Venezuela,VEN,2015,3.5057,71.02,South America
11612,Vietnam,VNM,2015,5.6012,147.38,Asia
11898,Yemen,YEM,2015,0.7842,0.66,Asia
11990,Zambia,ZMB,2015,3.0074,43.15,Africa
12049,Zimbabwe,ZWE,2015,0.5586,10.39,Africa
